Date,2023,2022,2021,2020,2019
12/23/2022,,"2,079,519","1,709,601","616,469","2,582,580"
12/22/2022,,"2,345,767","2,187,792","846,520","2,552,194"
12/21/2022,,"2,416,381","2,081,297","1,191,123","1,937,235"
12/20/2022,,"2,199,432","1,979,089","992,167","1,981,433"
12/19/2022,,"2,258,485","2,098,540","954,782","2,490,503"
12/18/2022,,"2,352,352","2,118,528","1,064,619","2,519,399"
12/17/2022,,"2,225,557","2,035,273","1,073,563","2,487,987"
12/16/2022,,"2,437,173","2,233,754","1,066,747","2,608,088"
12/15/2022,,"2,282,054","2,062,579","846,934","2,471,408"
12/14/2022,,"1,981,890","1,762,920","641,966","2,234,374"
12/13/2022,,"1,803,264","1,520,251","552,024","2,009,112"
12/12/2022,,"2,157,893","1,912,915","752,451","2,250,386"
12/11/2022,,"2,227,120","2,040,364","865,014","2,300,248"
12/10/2022,,"1,878,353","1,669,737","662,380","1,893,871"
12/9/2022,,"2,287,095","2,045,674","787,489","2,388,029"
12/8/2022,,"2,199,544","1,959,937","754,307","2,362,310"
12/7/2022,,"1,876,027","1,610,785","564,372","2,020,488"
12/6/2022,,"1,691,907","1,459,054","501,513","1,897,051"
12/5/2022,,"2,132,514","1,854,048","703,546","2,226,290"
12/4/2022,,"2,256,037","2,068,792","837,137","2,292,079"
12/3/2022,,"1,783,271","1,566,729","629,430","1,755,801"
12/2/2022,,"2,124,514","1,952,294","753,951","2,278,205"
12/1/2022,,"2,044,164","1,866,275","738,050","2,262,878"
11/30/2022,,"1,886,607","1,660,506","632,356","2,054,380"
11/29/2022,,"1,945,377","1,810,460","780,283","2,280,403"
11/28/2022,,"2,412,397","2,237,087","981,912","2,591,470"
11/27/2022,,"2,560,623","2,451,300","1,176,091","2,882,915"
11/26/2022,,"2,268,189","2,208,192","964,630","2,648,268"
11/25/2022,,"1,980,837","1,778,983","820,399","1,968,137"
11/24/2022,,"1,400,490","1,382,230","560,902","1,591,158"
11/23/2022,,"2,455,142","2,311,978","1,070,967","2,624,250"
11/22/2022,,"2,299,346","2,207,949","912,090","2,435,170"
11/21/2022,,"2,265,574","2,081,064","917,354","2,254,188"
11/20/2022,,"2,327,284","2,213,716","1,047,934","2,321,546"
11/19/2022,,"2,148,196","2,004,579","984,369","2,194,291"
11/18/2022,,"2,451,996","2,242,956","1,019,836","2,550,459"
11/17/2022,,"2,316,875","2,044,545","907,332","2,428,095"
11/16/2022,,"1,965,673","1,624,511","703,135","2,071,631"
11/15/2022,,"1,889,169","1,491,890","611,497","1,900,895"
11/14/2022,,"2,263,943","2,010,601","883,157","2,298,856"
11/13/2022,,"2,435,219","2,150,150","978,297","2,396,681"
11/12/2022,,"1,871,427","1,559,772","697,360","1,807,230"
11/11/2022,,"2,317,632","2,001,439","881,579","2,437,211"
11/10/2022,,"2,176,720","2,064,753","866,679","2,364,920"
11/9/2022,,"1,932,418","1,691,526","674,633","2,072,207"
11/8/2022,,"1,881,131","1,456,657","596,475","2,150,003"
11/7/2022,,"2,208,501","1,955,530","836,600","2,465,392"
11/6/2022,,"2,390,132","2,152,721","973,020","2,356,349"
11/5/2022,,"1,917,434","1,527,465","689,951","1,908,805"
11/4/2022,,"2,307,677","2,035,406","895,091","2,544,350"
11/3/2022,,"2,236,880","1,940,302","867,105","2,507,365"
11/2/2022,,"1,891,588","1,525,948","636,533","2,147,882"
11/1/2022,,"1,966,658","1,487,874","575,829","2,005,101"
10/31/2022,,"1,919,453","1,992,577","846,138","2,403,304"
10/30/2022,,"2,235,846","1,845,965","936,092","2,459,525"
10/29/2022,,"1,828,747","1,518,020","618,476","1,836,781"
10/28/2022,,"2,315,301","1,982,773","892,712","2,319,906"
10/27/2022,,"2,303,121","1,927,041","873,636","2,047,910"
10/26/2022,,"2,051,716","1,547,075","666,957","2,066,516"
10/25/2022,,"1,973,911","1,503,587","648,517","1,910,506"
10/24/2022,,"2,318,999","1,989,373","898,735","2,347,017"
10/23/2022,,"2,490,928","2,107,839","983,745","2,478,287"
10/22/2022,,"2,000,991","1,626,185","755,287","1,931,971"
10/21/2022,,"2,430,741","2,108,582","958,437","2,594,337"
10/20/2022,,"2,418,287","2,046,694","934,386","2,541,581"
10/19/2022,,"2,093,881","1,647,089","694,150","2,245,199"
10/18/2022,,"2,003,306","1,446,353","662,484","2,126,637"
10/17/2022,,"2,357,405","2,001,297","921,031","2,514,673"
10/16/2022,,"2,494,757","2,213,296","1,031,505","2,606,266"
10/15/2022,,"2,025,171","1,704,466","788,743","2,049,855"
10/14/2022,,"2,470,703","2,070,878","973,046","2,637,667"
10/13/2022,,"2,396,663","2,048,398","950,024","2,581,007"
10/12/2022,,"2,059,308","1,641,419","717,940","2,317,763"
10/11/2022,,"2,089,604","1,695,970","680,894","2,313,632"
10/10/2022,,"2,401,935","2,083,627","958,440","2,616,771"
10/9/2022,,"2,424,073","2,086,146","984,234","2,555,333"
10/8/2022,,"2,010,107","1,645,563","769,868","2,074,718"
10/7/2022,,"2,463,419","2,169,783","968,545","2,688,032"
10/6/2022,,"2,361,680","2,063,090","936,915","2,605,291"
10/5/2022,,"1,979,046","1,563,565","668,519","2,215,233"
10/4/2022,,"1,814,207","1,390,201","590,766","2,035,628"
10/3/2022,,"2,117,661","1,842,054","816,838","2,400,153"
10/2/2022,,"2,302,775","2,100,167","900,911","2,542,118"
10/1/2022,,"1,878,241","1,534,114","677,661","1,921,185"
9/30/2022,,"2,192,416","2,011,794","857,186","2,526,835"
9/29/2022,,"2,048,551","1,934,592","855,908","2,447,687"
9/28/2022,,"1,715,742","1,448,369","634,046","2,082,179"
9/27/2022,,"1,838,838","1,334,997","568,688","1,998,980"
9/26/2022,,"2,178,727","1,849,171","797,699","2,368,818"
9/25/2022,,"2,374,616","2,102,155","873,038","2,452,596"
9/24/2022,,"1,911,619","1,525,438","659,350","1,966,234"
9/23/2022,,"2,424,986","2,019,891","826,329","2,547,611"
9/22/2022,,"2,351,488","1,904,732","826,316","2,510,926"
9/21/2022,,"1,997,279","1,460,478","608,726","2,188,236"
9/20/2022,,"1,892,635","1,338,166","549,741","2,033,490"
9/19/2022,,"2,250,243","1,820,152","769,936","2,431,388"
9/18/2022,,"2,371,992","2,075,468","847,968","2,517,826"
9/17/2022,,"1,881,398","1,476,269","638,575","1,938,402"
9/16/2022,,"2,356,832","1,942,337","812,214","2,571,924"
9/15/2022,,"2,337,449","1,851,345","784,746","2,455,410"
9/14/2022,,"1,968,902","1,455,913","577,847","2,146,857"
9/13/2022,,"1,807,768","1,271,516","522,383","2,013,050"
9/12/2022,,"2,224,366","1,672,895","729,558","2,405,832"
9/11/2022,,"2,327,103","1,966,456","809,850","2,485,134"
9/10/2022,,"1,821,517","1,363,653","613,703","1,879,822"
9/9/2022,,"2,216,798","1,792,979","731,353","2,484,025"
9/8/2022,,"2,106,401","1,685,668","755,051","2,449,302"
9/7/2022,,"1,829,557","1,439,804","616,923","2,005,867"
9/6/2022,,"2,079,005","1,662,932","704,075","1,943,379"
9/5/2022,,"2,398,857","2,025,556","935,308","2,292,985"
9/4/2022,,"1,979,906","1,630,786","689,630","2,370,003"
9/3/2022,,"1,903,791","1,545,955","664,640","1,755,502"
9/2/2022,,"2,479,329","2,129,999","968,673","2,198,828"
9/1/2022,,"2,312,486","1,896,846","877,698","2,109,858"
8/31/2022,,"1,989,119","1,465,197","578,131","1,889,044"
8/30/2022,,"1,758,344","1,345,064","516,068","2,037,750"
8/29/2022,,"2,095,071","1,629,475","711,178","2,278,159"
8/28/2022,,"2,311,805","1,900,658","807,695","1,887,845"
8/27/2022,,"1,862,084","1,511,294","591,734","1,954,902"
8/26/2022,,"2,271,423","1,853,622","738,873","2,658,558"
8/25/2022,,"2,255,206","1,826,310","721,060","2,561,109"
8/24/2022,,"1,984,006","1,539,707","540,043","2,188,688"
8/23/2022,,"1,941,786","1,468,219","523,186","2,015,088"
8/22/2022,,"2,239,357","1,820,355","726,788","2,358,007"
8/21/2022,,"2,343,407","1,965,020","841,806","2,493,162"
8/20/2022,,"2,001,650","1,685,462","625,822","2,039,233"
8/19/2022,,"2,301,271","1,990,608","764,468","2,559,244"
8/18/2022,,"2,320,885","1,945,026","772,380","2,533,184"
8/17/2022,,"2,044,346","1,678,231","586,718","2,306,838"
8/16/2022,,"1,992,395","1,607,238","565,946","2,247,446"
8/15/2022,,"2,232,631","1,980,585","773,319","2,576,965"
8/14/2022,,"2,354,846","2,114,166","862,949","2,584,444"
8/13/2022,,"2,049,365","1,811,767","689,895","2,171,962"
8/12/2022,,"2,350,036","2,065,379","783,744","2,627,564"
8/11/2022,,"2,327,062","2,045,301","761,821","2,602,446"
8/10/2022,,"2,103,152","1,761,348","590,749","2,391,906"
8/9/2022,,"2,029,681","1,727,075","559,420","2,306,829"
8/8/2022,,"2,329,072","2,022,858","761,861","2,567,986"
8/7/2022,,"2,434,927","2,168,264","831,789","2,647,897"
8/6/2022,,"2,169,631","1,925,641","683,212","2,290,340"
8/5/2022,,"2,396,295","2,109,091","762,547","2,725,000"
8/4/2022,,"2,345,429","2,063,720","743,599","2,707,986"
8/3/2022,,"2,105,975","1,855,299","595,739","2,430,094"
8/2/2022,,"2,044,931","1,797,120","543,601","2,387,115"
8/1/2022,,"2,358,196","2,031,758","737,235","2,619,406"
7/31/2022,,"2,467,162","2,238,462","799,861","2,688,640"
7/30/2022,,"2,199,454","2,007,412","709,033","2,367,967"
7/29/2022,,"2,363,800","2,198,585","767,320","2,730,936"
7/28/2022,,"2,392,009","2,127,634","718,310","2,742,882"
7/27/2022,,"2,205,506","1,923,980","573,200","2,542,365"
7/26/2022,,"2,115,890","1,858,328","536,756","2,438,967"
7/25/2022,,"2,360,672","2,124,474","700,043","2,613,346"
7/24/2022,,"2,247,129","2,177,129","751,205","2,700,723"
7/23/2022,,"2,183,142","1,942,871","649,027","2,364,925"
7/22/2022,,"2,444,737","2,159,300","724,770","2,732,770"
7/21/2022,,"2,423,437","2,101,343","704,815","2,705,399"
7/20/2022,,"2,219,416","1,934,918","570,951","2,561,911"
7/19/2022,,"2,127,327","1,871,986","530,421","2,499,460"
7/18/2022,,"2,350,360","2,141,429","695,330","2,635,312"
7/17/2022,,"2,445,936","2,227,704","747,422","2,727,355"
7/16/2022,,"2,185,441","1,979,981","646,654","2,396,462"
7/15/2022,,"2,421,430","2,199,815","720,378","2,776,960"
7/14/2022,,"2,387,231","2,152,053","706,164","2,716,828"
7/13/2022,,"2,166,953","1,900,945","589,285","2,522,563"
7/12/2022,,"2,062,952","1,832,878","540,268","2,447,177"
7/11/2022,,"2,292,793","2,093,066","697,985","2,615,115"
7/10/2022,,"2,438,070","2,198,635","754,545","2,669,717"
7/9/2022,,"2,132,467","1,987,652","656,284","2,312,178"
7/8/2022,,"2,273,221","2,147,903","711,124","2,716,812"
